#EEP   M/Mo  LogTeff   LogG  LogL/Lo   F336W   F439W   F450W   F555W   F606W   F791W   F814W   F850L
 168  0.804188  3.7691  3.7065  0.6664  3.4912  3.8418  3.6701  3.2919  3.0925  2.5927  2.5800  2.4219
 169  0.804478  3.7661  3.6870  0.6741  3.4955  3.8373  3.6622  3.2763  3.0738  2.5667  2.5539  2.3933
 170  0.804764  3.7631  3.6675  0.6821  3.4996  3.8321  3.6534  3.2601  3.0546  2.5405  2.5275  2.3644
 171  0.805042  3.7603  3.6479  0.6904  3.5029  3.8256  3.6434  3.2428  3.0345  2.5138  2.5006  2.3351
 172  0.805308  3.7576  3.6283  0.6993  3.5052  3.8177  3.6321  3.2243  3.0133  2.4863  2.4728  2.3050
 173  0.805560  3.7551  3.6089  0.7088  3.5055  3.8078  3.6188  3.2043  2.9908  2.4579  2.4442  2.2742
 174  0.805798  3.7528  3.5900  0.7187  3.5028  3.7953  3.6031  3.1827  2.9670  2.4287  2.4149  2.2429
 175  0.806022  3.7508  3.5715  0.7292  3.4976  3.7806  3.5856  3.1596  2.9419  2.3988  2.3849  2.2111
 176  0.806232  3.7490  3.5537  0.7400  3.4894  3.7637  3.5661  3.1353  2.9159  2.3687  2.3545  2.1793
 177  0.806430  3.7474  3.5364  0.7511  3.4789  3.7451  3.5451  3.1100  2.8891  2.3383  2.3240  2.1473
 178  0.806619  3.7460  3.5196  0.7624  3.4663  3.7249  3.5229  3.0840  2.8617  2.3077  2.2933  2.1154
 179  0.806800  3.7448  3.5034  0.7739  3.4514  3.7032  3.4994  3.0572  2.8337  2.2770  2.2625  2.0835
 180  0.806974  3.7437  3.4874  0.7854  3.4360  3.6812  3.4757  3.0302  2.8056  2.2462  2.2317  2.0515
 181  0.807144  3.7426  3.4717  0.7971  3.4191  3.6582  3.4511  3.0028  2.7771  2.2154  2.2007  2.0196
 182  0.807335  3.7416  3.4538  0.8109  3.3975  3.6301  3.4215  2.9701  2.7433  2.1791  2.1644  1.9823
 183  0.807525  3.7406  3.4359  0.8250  3.3743  3.6008  3.3907  2.9366  2.7088  2.1422  2.1274  1.9444
 184  0.807713  3.7397  3.4180  0.8394  3.3497  3.5705  3.3590  2.9023  2.6735  2.1047  2.0898  1.9060
 185  0.807900  3.7389  3.4002  0.8541  3.3236  3.5390  3.3264  2.8673  2.6376  2.0666  2.0517  1.8672
 186  0.808086  3.7381  3.3825  0.8688  3.2970  3.5072  3.2933  2.8321  2.6014  2.0285  2.0135  1.8282
 187  0.808271  3.7374  3.3648  0.8837  3.2693  3.4744  3.2595  2.7962  2.5648  1.9899  1.9749  1.7889
 188  0.808455  3.7367  3.3472  0.8988  3.2405  3.4410  3.2251  2.7599  2.5277  1.9512  1.9361  1.7495
 189  0.808639  3.7361  3.3296  0.9139  3.2113  3.4073  3.1904  2.7234  2.4905  1.9123  1.8972  1.7100
 190  0.808822  3.7355  3.3121  0.9291  3.1814  3.3729  3.1552  2.6866  2.4530  1.8733  1.8581  1.6704
 191  0.809005  3.7349  3.2947  0.9444  3.1511  3.3383  3.1197  2.6495  2.4153  1.8342  1.8190  1.6307
 192  0.809187  3.7344  3.2772  0.9598  3.1204  3.3034  3.0840  2.6123  2.3775  1.7950  1.7797  1.5909
 193  0.809367  3.7339  3.2596  0.9753  3.0890  3.2679  3.0477  2.5745  2.3391  1.7554  1.7400  1.5507
