EEP   M/Mo    LogTeff  LogG   LogL/Lo F435W   F475W   F502N   F550M   F555W   F606W   F625W   F658N   F660N   F775W   F814W   F850LP  
 110  0.801692  3.8312  4.2952  0.3251  4.3298  4.1842  4.0643  3.8988  3.9658  3.8360  3.7234  3.5888  3.6052  3.4977  3.4758  3.4191
 111  0.803842  3.8317  4.2896  0.3339  4.3059  4.1610  4.0415  3.8766  3.9434  3.8142  3.7019  3.5680  3.5842  3.4771  3.4553  3.3989
 112  0.805555  3.8321  4.2850  0.3409  4.2868  4.1423  4.0232  3.8588  3.9254  3.7966  3.6847  3.5512  3.5673  3.4605  3.4388  3.3827
 113  0.807275  3.8326  4.2805  0.3481  4.2673  4.1233  4.0046  3.8407  3.9072  3.7787  3.6671  3.5343  3.5502  3.4437  3.4221  3.3663
 114  0.809004  3.8330  4.2759  0.3553  4.2475  4.1041  3.9857  3.8224  3.8887  3.7607  3.6494  3.5171  3.5328  3.4267  3.4053  3.3498
 115  0.810743  3.8334  4.2713  0.3627  4.2275  4.0846  3.9666  3.8039  3.8699  3.7423  3.6314  3.4997  3.5152  3.4095  3.3882  3.3330
 116  0.812492  3.8339  4.2666  0.3701  4.2072  4.0649  3.9472  3.7851  3.8509  3.7238  3.6132  3.4820  3.4974  3.3921  3.3709  3.3160
 117  0.814250  3.8343  4.2618  0.3777  4.1866  4.0449  3.9276  3.7660  3.8316  3.7050  3.5947  3.4642  3.4794  3.3744  3.3533  3.2987
 118  0.816020  3.8348  4.2569  0.3853  4.1658  4.0246  3.9077  3.7467  3.8121  3.6859  3.5760  3.4460  3.4611  3.3565  3.3355  3.2812
 119  0.817800  3.8353  4.2520  0.3930  4.1447  4.0041  3.8875  3.7271  3.7923  3.6666  3.5570  3.4277  3.4425  3.3384  3.3175  3.2635
 120  0.819591  3.8357  4.2469  0.4009  4.1233  3.9833  3.8671  3.7073  3.7722  3.6470  3.5378  3.4090  3.4237  3.3200  3.2992  3.2456
 121  0.821394  3.8362  4.2418  0.4088  4.1016  3.9622  3.8464  3.6871  3.7519  3.6271  3.5183  3.3901  3.4046  3.3013  3.2807  3.2274
 122  0.823207  3.8367  4.2366  0.4169  4.0797  3.9408  3.8254  3.6668  3.7313  3.6070  3.4985  3.3710  3.3853  3.2824  3.2619  3.2089
 123  0.825025  3.8372  4.2313  0.4251  4.0574  3.9190  3.8040  3.6460  3.7103  3.5865  3.4784  3.3515  3.3656  3.2632  3.2428  3.1901
 124  0.826857  3.8376  4.2260  0.4334  4.0348  3.8970  3.7824  3.6250  3.6891  3.5658  3.4581  3.3319  3.3458  3.2438  3.2235  3.1712
 125  0.828699  3.8381  4.2205  0.4418  4.0120  3.8748  3.7606  3.6038  3.6676  3.5448  3.4375  3.3119  3.3256  3.2240  3.2039  3.1519
 126  0.830551  3.8386  4.2149  0.4503  3.9889  3.8523  3.7384  3.5823  3.6459  3.5236  3.4166  3.2916  3.3052  3.2040  3.1840  3.1323
 127  0.832411  3.8391  4.2091  0.4589  3.9656  3.8295  3.7160  3.5605  3.6239  3.5021  3.3955  3.2711  3.2844  3.1837  3.1638  3.1125
 128  0.834278  3.8395  4.2032  0.4676  3.9420  3.8065  3.6934  3.5384  3.6016  3.4802  3.3740  3.2502  3.2634  3.1631  3.1433  3.0922
 129  0.836149  3.8400  4.1971  0.4764  3.9182  3.7832  3.6704  3.5160  3.5790  3.4581  3.3522  3.2291  3.2420  3.1421  3.1225  3.0717
 130  0.838023  3.8404  4.1907  0.4854  3.8941  3.7596  3.6472  3.4933  3.5561  3.4357  3.3301  3.2076  3.2203  3.1208  3.1013  3.0508
